StartD,StartDj,StartDjWY,StartT,StopD,StopDj,StopDjWY,StopT,HrsSampled,8.3RPM,8.4RPM,8.3Rev,8.4Rev,HrsFished,WLK,WaterT,Turb,MinFL,MaxFL,FR,SR,WR,LFR,AdCHINOOK,STEEL,AdSTEEL,FRcpue,SRcpue,WRcpue,LFRcpue,STEELcpue,EFF,Comments
2/11/2015,42046,133,7:30,42046,2/11/2015,133,16:45,9.25,2.9,3.5,1694,1722,17.9,23600,56,266,34,125,900,28,3,0,59,1,11,50.17944117,1.56113817,0.167264804,0,0.055754935,0.5,Both RST modified to sample at half efficiency during daylight hours. 
2/12/2015,42047,134,6:45,42048,2/13/2015,135,8:00,25.25,3.2,3.8,2440,2895,25.4,17800,55,121.6,28,117,1649,22,17,0,132,1,20,64.90668968,0.865947346,0.669141131,0,0.039361243,0.5,Both RST modified to sample at half efficiency. 
2/13/2015,42048,135,8:00,42049,2/14/2015,136,11:00,27,3.5,3.3,2740,3627,31.4,14700,54,80.5,32,107,537,10,4,0,76,0,20,17.12055759,0.318818577,0.127527431,0,0,0.5,Both RST modified to sample at half efficiency. 
2/14/2015,42049,136,11:00,42050,2/15/2015,137,10:00,23,3.3,4.1,1154,1392,11.5,12900,56,70.3,36,97,54,3,1,0,10,2,2,4.701040214,0.261168901,0.0870563,0,0.174112601,0.5,Both RST modified to sample at half efficiency. 
2/15/2015,42050,137,12:30,42051,2/16/2015,138,9:30,21,2.7,2.9,148,3953,23.6,11800,56,58.1,34,66,28,1,0,0,3,0,1,1.184835575,0.042315556,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/16/2015,42051,138,10:00,42052,2/17/2015,139,9:00,23,3,3.2,4014,4494,45.7,10800,54,39.2,35,92,30,3,1,0,8,0,1,0.656365377,0.065636538,0.021878846,0,0,0.5,Both RST modified to sample at half efficiency. 
2/17/2015,42052,139,9:00,42053,2/18/2015,140,9:45,24.75,3,3.1,1424,5050,35.1,10100,56,41.8,35,73,11,1,0,0,0,0,0,0.313733107,0.028521192,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/18/2015,42053,140,9:45,42054,2/19/2015,141,9:45,24,2.8,3.4,1644,5172,35.1,9680,55,33.8,34,93,6,1,1,0,2,0,0,0.170752122,0.028458687,0.028458687,0,0,0.5,Both RST modified to sample at half efficiency. 
2/19/2015,42054,141,9:45,42055,2/20/2015,142,11:00,25.25,3,2.2,4331,4331,56.9,9250,57,36.2,36,75,8,2,0,0,3,0,1,0.14066746,0.035166865,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/20/2015,42055,142,10:45,42056,2/21/2015,143,9:30,23.75,2.9,3.4,3868,4565,44.6,8860,57,34,41,44,2,0,0,0,0,0,0,0.044835675,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/21/2015,42056,143,9:30,42057,2/22/2015,144,10:45,25.25,3,3.4,4428,1523,32.1,8460,57,30,42,42,1,0,0,0,0,0,0,0.031185985,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/22/2015,42057,144,10:45,42058,2/23/2015,145,10:45,24,3,3.5,4270,5094,48,8110,56,25.3,34,85,3,0,1,0,3,0,0,0.06252688,0,0.020842293,0,0,0.5,Both RST modified to sample at half efficiency. 
2/23/2015,42058,145,10:45,42059,2/24/2015,146,10:45,24,2.9,3.1,4099,4792,49.3,7640,54,24,36,100,1,0,2,0,1,0,0,0.020275375,0,0.04055075,0,0,0.5,Both RST modified to sample at half efficiency. 
2/24/2015,42059,146,10:45,42060,2/25/2015,147,9:30,22.75,2.8,3.2,1070,4533,30,7340,54,16.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/25/2015,42060,147,9:30,42061,2/26/2015,148,9:30,24,2.9,3.1,3896,4620,47.2,7170,54,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/26/2015,42061,148,9:30,42062,2/27/2015,149,9:15,23.75,2.7,3,3832,4098,46.4,6960,54,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/27/2015,42062,149,9:15,42063,2/28/2015,150,9:45,24.5,2.6,3.1,3792,4840,50.3,6830,55,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/28/2015,42063,150,9:45,42064,3/1/2015,151,11:15,25.5,2.4,3,3952,5004,55.2,6560,56,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
3/1/2015,42064,151,11:15,42065,3/2/2015,152,11:00,23.75,2.3,2.9,3395,4585,51,6170,56,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
